[02:37:27] [main/ERROR]: Failed to load properties from file: server.properties
[02:37:28] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02:37:29] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[02:37:29] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:37:29] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:37:29] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[02:37:29] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:37:29] [main/INFO]: Reloading ResourceManager: Default
[02:37:31] [Worker-Main-2/INFO]: Loaded 7 recipes
[02:37:32] [Worker-Main-2/INFO]: Loaded 927 advancements
[02:37:34] [Server thread/INFO]: Starting minecraft server version 1.16.5
[02:37:34] [Server thread/INFO]: Loading properties
[02:37:34] [Server thread/INFO]: Default game type: SURVIVAL
[02:37:34] [Server thread/INFO]: Generating keypair
[02:37:35] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:37:35] [Server thread/INFO]: Using epoll channel type
[02:37:35] [Server thread/INFO]: Preparing level "world"
[02:37:53] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[02:37:54] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[02:37:54] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[02:37:55] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[02:37:55] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[02:37:56] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[02:37:56] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[02:37:57] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[02:37:57] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[02:37:58] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[02:37:58] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[02:37:59] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[02:37:59] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[02:38:00] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[02:38:00] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[02:38:01] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[02:38:01] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[02:38:02] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[02:38:02] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[02:38:03] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[02:38:03] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[02:38:04] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[02:38:04] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[02:38:05] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[02:38:05] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[02:38:06] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[02:38:06] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[02:38:07] [Worker-Main-2/INFO]: Preparing spawn area: 65%
[02:38:07] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[02:38:08] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[02:38:08] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[02:38:09] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[02:38:09] [Worker-Main-2/INFO]: Preparing spawn area: 74%
[02:38:10] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[02:38:10] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[02:38:11] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[02:38:11] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[02:38:12] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[02:38:12] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[02:38:13] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[02:38:13] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[02:38:14] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[02:38:14] [Worker-Main-2/INFO]: Preparing spawn area: 97%
[02:38:14] [Server thread/INFO]: Time elapsed: 31849 ms
[02:38:14] [Server thread/INFO]: Done (39.542s)! For help, type "help"
